"resource","consumer","res.n","res.m","res.phylum","res.class","res.order","res.family","res.genus","con.n","con.m","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Prosimulium","Oligochaeta",29.27120669,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",93.78733572,0.506640431,"Annelida","Clitellata",,,,"family","exact",2,"source","Matthew D Green"
"Prosimulium","Prosimulium",29.27120669,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",29.27120669,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","genus","genus",4,"source","Matthew D Green"
"Prosimulium","Psychoglypha",29.27120669,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",0.597371565,10.61210978,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","family","family",1,"source","Matthew D Green"
"Prosimulium","Rhyacophila",29.27120669,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",2.986857825,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","genus","exact",2,"source","Matthew D Green"
"Prosimulium","Stegopterna",29.27120669,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",40.02389486,2.733149393,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna","genus","family",4,"source","Matthew D Green"
"Prosimulium","Suwallia",29.27120669,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",1.792114695,2.473558448,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia","family","family",24,"source","Matthew D Green"
"Psychoglypha","Agabus",0.597371565,10.61210978,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha",17.32377539,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","family","exact",3,"source","Matthew D Green"
"Psychoglypha","Chironomidae",0.597371565,10.61210978,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha",2403.823178,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",1,"source","Matthew D Green"
"Rhyacophila","Rhyacophila",2.986857825,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",2.986857825,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"source","Matthew D Green"
"Stegopterna","Agabus",40.02389486,2.733149393,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna",17.32377539,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","family","exact",2,"source","Matthew D Green"
"Stegopterna","Chironomidae",40.02389486,2.733149393,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna",2403.823178,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",25,"source","Matthew D Green"
"Stegopterna","Clinocera",40.02389486,2.733149393,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna",5.376344086,1.217892125,"Arthropoda","Insecta","Diptera","Empididae","Clinocera","family","family",1,"source","Matthew D Green"
"Stegopterna","Desmona",40.02389486,2.733149393,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna",10.75268817,11.25992905,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona","family","family",1,"source","Matthew D Green"
"Stegopterna","Ecclisomyia",40.02389486,2.733149393,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna",1.792114695,9.197155302,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia","family","family",1,"source","Matthew D Green"
"Stegopterna","Limonia",40.02389486,2.733149393,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna",1.792114695,2.268208212,"Arthropoda","Insecta","Diptera","Tipulidae","Limonia","family","family",4,"source","Matthew D Green"
"Stegopterna","Oligochaeta",40.02389486,2.733149393,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna",93.78733572,0.506640431,"Annelida","Clitellata",,,,"family","exact",2,"source","Matthew D Green"
"Stegopterna","Prosimulium",40.02389486,2.733149393,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna",29.27120669,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","family","genus",4,"source","Matthew D Green"
"Stegopterna","Psychoglypha",40.02389486,2.733149393,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna",0.597371565,10.61210978,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","family","family",1,"source","Matthew D Green"
"Stegopterna","Rhyacophila",40.02389486,2.733149393,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna",2.986857825,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",13,"source","Matthew D Green"
"Stegopterna","Stegopterna",40.02389486,2.733149393,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna",40.02389486,2.733149393,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna","family","family",11,"source","Matthew D Green"
"Stegopterna","Suwallia",40.02389486,2.733149393,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna",1.792114695,2.473558448,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia","family","family",24,"source","Matthew D Green"
"Stilobezzia","Agabus",0.597371565,0.162619632,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Stilobezzia",17.32377539,7.651273071,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","family","exact",3,"source","Matthew D Green"
"Stilobezzia","Chironomidae",0.597371565,0.162619632,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Stilobezzia",2403.823178,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",10,"source","Matthew D Green"
"Stilobezzia","Culiseta",0.597371565,0.162619632,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Stilobezzia",0.597371565,0.395108595,"Arthropoda","Insecta","Diptera","Culicidae","Culiseta","family","family",3,"source","Matthew D Green"
